event,id,t,t_diff,t_end,t_end_recv,t_start
CreateEPR_backend,l92t43cq7,,0.007048,17:33.948687,,17:33.941639
CreateEPR_notify,l92t43cq7,,0.000517,17:33.949382,,17:33.948865
CreateEPR_total,l92t43cq7,,0.007850,17:33.949461,,17:33.941611
CreateEPR_backend,947kpy8o8,,0.006985,17:33.950915,,17:33.943930
CreateEPR_notify,947kpy8o8,,0.000437,17:33.951458,,17:33.951021
CreateEPR_total,947kpy8o8,,0.007775,17:33.951522,,17:33.943747
ORDER_RECV_EXECUTING,l92t43cq7,,,,,32:18.802926
SOCKET_ACCEPT,NONE,17:33.955656,,,,
SOCKET_ACCEPT,NONE,17:33.955814,,,,
SOCKET_ACCEPT,NONE,17:33.957724,,,,
SOCKET_HANDLER_START,NONE,17:33.957852,,,,
SOCKET_HANDLER_START,NONE,17:33.957555,,,,
SOCKET_ACCEPT,NONE,17:33.957934,,,,
SOCKET_RECV_DONE,NONE,17:33.958377,,,,
SOCKET_HANDLER_START,NONE,17:33.958401,,,,
SOCKET_RECV_DONE,NONE,17:33.958306,,,,
SOCKET_HANDLER_START,NONE,17:33.958517,,,,
SOCKET_RECV_DONE,NONE,17:33.958884,,,,
SOCKET_RECV_DONE,NONE,17:33.959158,,,,
ORDER_RECV_EXECUTING,947kpy8o8,,,,,32:18.810633
CreateEPR_backend,947kpy8o8,,0.034112,17:33.998057,,17:33.963945
CreateEPR_notify,947kpy8o8,,0.000131,17:33.998305,,17:33.998174
CreateEPR_total,947kpy8o8,,0.034440,17:33.998355,,17:33.963915
CreateEPR_backend,l92t43cq7,,0.036079,17:33.999405,,17:33.963326
CreateEPR_notify,l92t43cq7,,0.000093,17:33.999588,,17:33.999495
CreateEPR_total,l92t43cq7,,0.036419,17:33.999633,,17:33.963214
RECV_ENTER,l92t43cq7,17:34.654930,,,,
RECV_EPR_START,l92t43cq7,,,,,17:34.654925
ReceiveEPR,l92t43cq7,,0.001491,17:34.656416,,17:34.654925
RECV_BEFORE_MONITOR,l92t43cq7,17:34.656506,,,,
RECV_BEFORE_UPDATE,l92t43cq7,17:34.656751,,,,
RECV_BEFORE_NOTIFY,l92t43cq7,17:34.656892,,,,
SOCKET_ACCEPT,NONE,17:34.657538,,,,
SOCKET_HANDLER_START,NONE,17:34.657953,,,,
SOCKET_RECV_DONE,NONE,17:34.658125,,,,
RECV_TOTAL_no_plots,l92t43cq7,,0.006650000000036016,,17:34.661575,17:34.654925
RECV_TOTAL,l92t43cq7,,0.19433699999990495,,17:34.849262,17:34.654925
SOCKET_ACCEPT,NONE,17:34.853200,,,,
SOCKET_HANDLER_START,NONE,17:34.853658,,,,
SOCKET_RECV_DONE,NONE,17:34.853741,,,,
SOCKET_ACCEPT,NONE,17:34.853927,,,,
SOCKET_HANDLER_START,NONE,17:34.854299,,,,
SOCKET_RECV_DONE,NONE,17:34.854460,,,,
SOCKET_BEFORE_RECV_EPR,947kpy8o8,17:34.858345,,,,
RECV_ENTER,947kpy8o8,17:34.858431,,,,
RECV_EPR_START,947kpy8o8,,,,,17:34.858429
ReceiveEPR,947kpy8o8,,0.001435,17:34.859864,,17:34.858429
RECV_BEFORE_MONITOR,947kpy8o8,17:34.859963,,,,
RECV_BEFORE_UPDATE,947kpy8o8,17:34.860245,,,,
RECV_BEFORE_NOTIFY,947kpy8o8,17:34.860326,,,,
SOCKET_ACCEPT,NONE,17:34.861722,,,,
SOCKET_HANDLER_START,NONE,17:34.862014,,,,
SOCKET_RECV_DONE,NONE,17:34.862136,,,,
RECV_TOTAL_no_plots,947kpy8o8,,0.006747000000132175,,17:34.865176,17:34.858429
RECV_TOTAL,947kpy8o8,,0.17911100000014812,,17:35.037540,17:34.858429
SOCKET_AFTER_RECV_EPR,947kpy8o8,17:35.037655,,,,
SOCKET_AFTER_SEND_RECV_EPR,947kpy8o8,17:35.037858,,,,
SOCKET_ACCEPT,NONE,17:41.841712,,,,
SOCKET_ACCEPT,NONE,17:41.841795,,,,
SOCKET_HANDLER_START,NONE,17:41.842015,,,,
SOCKET_RECV_DONE,NONE,17:41.842100,,,,
SOCKET_ACCEPT,NONE,17:41.842228,,,,
SOCKET_HANDLER_START,NONE,17:41.842096,,,,
SOCKET_RECV_DONE,NONE,17:41.842348,,,,
SOCKET_HANDLER_START,NONE,17:41.842388,,,,
SOCKET_ACCEPT,NONE,17:41.842188,,,,
SOCKET_RECV_DONE,NONE,17:41.842437,,,,
SOCKET_HANDLER_START,NONE,17:41.842783,,,,
SOCKET_RECV_DONE,NONE,17:41.842921,,,,
CreateEPR_backend,5fcwzj7js,,0.006818,17:41.852568,,17:41.845750
