ID,event,id,t,t_diff,t_end,t_end_recv,t_start
61lkrbvmr,ORDER_RECEIVE,61lkrbvmr,,,,,43:41.398832
3f3pkcw1d,ORDER_RECEIVE,3f3pkcw1d,,,,,43:41.399018
61lkrbvmr,ORDER_RECV_STARTING,61lkrbvmr,,,,,43:41.400186
3f3pkcw1d,ORDER_RECV_STARTING,3f3pkcw1d,,,,,43:41.402192
3f3pkcw1d,CreateEPR_backend,3f3pkcw1d,,0.012434,51:20.083034,,51:20.070600
61lkrbvmr,CreateEPR_backend,61lkrbvmr,,0.012106,51:20.083229,,51:20.071123
3f3pkcw1d,CreateEPR_notify,3f3pkcw1d,,0.000348,51:20.083618,,51:20.083270
3f3pkcw1d,SENDING,3f3pkcw1d,,,,,43:41.422294
61lkrbvmr,CreateEPR_notify,61lkrbvmr,,0.000321,51:20.083660,,51:20.083339
61lkrbvmr,SENDING,61lkrbvmr,,,,,43:41.422394
61lkrbvmr,CreateEPR_total,61lkrbvmr,,0.012767,51:20.083812,,51:20.071045
3f3pkcw1d,CreateEPR_total,3f3pkcw1d,,0.013611,51:20.084038,,51:20.070427
3f3pkcw1d,ORDER_RECV_EXECUTING_AFTER_FOUND,3f3pkcw1d,,,,,43:41.423531
61lkrbvmr,ORDER_RECV_EXECUTING_AFTER_FOUND,61lkrbvmr,,,,,43:41.424934
3f3pkcw1d,RECV_ENTER,3f3pkcw1d,51:21.223940,,,,
3f3pkcw1d,RECV_EPR_START,3f3pkcw1d,51:21.223926,,,,
3f3pkcw1d,ReceiveEPR,3f3pkcw1d,,0.00223,51:21.226156,,51:21.223926
3f3pkcw1d,RECV_EPR_START_BEFORE_CALCS,3f3pkcw1d,51:21.226412,,,,
3f3pkcw1d,RECV_BEFORE_MONITOR,3f3pkcw1d,51:21.226596,,,,
3f3pkcw1d,RECV_BEFORE_UPDATE,3f3pkcw1d,51:21.227770,,,,
3f3pkcw1d,RECV_BEFORE_NOTIFY,3f3pkcw1d,51:21.228180,,,,
3f3pkcw1d,EPR_TOTAL,3f3pkcw1d,51:21.228572,,,,
3f3pkcw1d,RECV_TOTAL_no_plots,3f3pkcw1d,,0.016638000000057218,,51:21.240564,51:21.223926
3f3pkcw1d,RECV_TOTAL_EPR_FINAL,3f3pkcw1d,,1.143246999999974,,51:21.226508,51:20.083261
3f3pkcw1d,RECV_TOTAL,3f3pkcw1d,,0.023840999999720225,,51:21.247767,51:21.223926
NONE,SOCKET_ACCEPT,NONE,51:21.267370,,,,
NONE,SOCKET_HANDLER_START,NONE,51:21.269727,,,,
NONE,SOCKET_RECV_DONE,NONE,51:21.270314,,,,
61lkrbvmr,SOCKET_BEFORE_RECV_EPR,61lkrbvmr,51:21.292812,,,,
61lkrbvmr,RECV_ENTER,61lkrbvmr,51:21.293378,,,,
61lkrbvmr,RECV_EPR_START,61lkrbvmr,51:21.293356,,,,
61lkrbvmr,ReceiveEPR,61lkrbvmr,,0.080444,51:21.373800,,51:21.293356
61lkrbvmr,RECV_EPR_START_BEFORE_CALCS,61lkrbvmr,51:21.391873,,,,
61lkrbvmr,RECV_BEFORE_MONITOR,61lkrbvmr,51:21.395748,,,,
61lkrbvmr,RECV_BEFORE_UPDATE,61lkrbvmr,51:21.415404,,,,
61lkrbvmr,RECV_BEFORE_NOTIFY,61lkrbvmr,51:21.430620,,,,
61lkrbvmr,EPR_TOTAL,61lkrbvmr,51:21.440275,,,,
61lkrbvmr,RECV_TOTAL_no_plots,61lkrbvmr,,0.23530600000003687,,51:21.528662,51:21.293356
61lkrbvmr,RECV_TOTAL_EPR_FINAL,61lkrbvmr,,1.312336999999843,,51:21.395669,51:20.083332
61lkrbvmr,RECV_TOTAL,61lkrbvmr,,0.2397479999999632,,51:21.533104,51:21.293356
61lkrbvmr,SOCKET_AFTER_RECV_EPR,61lkrbvmr,51:21.536866,,,,
61lkrbvmr,SOCKET_AFTER_SEND_RECV_EPR,61lkrbvmr,51:21.537705,,,,
None,RECEIVING,None,,0.013933000000179163,43:51.128293,,43:51.114360
m7os659q7,ORDER_RECEIVE,m7os659q7,,,,,44:00.788241
1zt6lapp2,ORDER_RECEIVE,1zt6lapp2,,,,,44:00.787622
1zt6lapp2,ORDER_RECV_STARTING,1zt6lapp2,,,,,44:00.794920
m7os659q7,ORDER_RECV_STARTING,m7os659q7,,,,,44:00.796180
m7os659q7,CreateEPR_backend,m7os659q7,,0.018421,51:39.488450,,51:39.470029
1zt6lapp2,CreateEPR_backend,1zt6lapp2,,0.01808,51:39.488719,,51:39.470639
1zt6lapp2,CreateEPR_notify,1zt6lapp2,,0.000216,51:39.489083,,51:39.488867
1zt6lapp2,CreateEPR_total,1zt6lapp2,,0.018792,51:39.489195,,51:39.470403
m7os659q7,SENDING,m7os659q7,,,,,44:00.827885
1zt6lapp2,SENDING,1zt6lapp2,,,,,44:00.827858
m7os659q7,CreateEPR_notify,m7os659q7,,0.000432,51:39.489220,,51:39.488788
m7os659q7,CreateEPR_total,m7os659q7,,0.019577,51:39.489358,,51:39.469781
m7os659q7,ORDER_RECV_EXECUTING_AFTER_FOUND,m7os659q7,,,,,44:00.828373
1zt6lapp2,ORDER_RECV_EXECUTING_AFTER_FOUND,1zt6lapp2,,,,,44:00.829009
1zt6lapp2,SOCKET_BEFORE_RECV_EPR,1zt6lapp2,51:39.510657,,,,
1zt6lapp2,RECV_ENTER,1zt6lapp2,51:39.511008,,,,
1zt6lapp2,RECV_EPR_START,1zt6lapp2,51:39.510991,,,,
m7os659q7,SOCKET_BEFORE_RECV_EPR,m7os659q7,51:39.512036,,,,
m7os659q7,RECV_ENTER,m7os659q7,51:39.512591,,,,
m7os659q7,RECV_EPR_START,m7os659q7,51:39.512575,,,,
1zt6lapp2,ReceiveEPR,1zt6lapp2,,0.003351,51:39.514342,,51:39.510991
1zt6lapp2,RECV_EPR_START_BEFORE_CALCS,1zt6lapp2,51:39.515179,,,,
1zt6lapp2,RECV_BEFORE_MONITOR,1zt6lapp2,51:39.515392,,,,
1zt6lapp2,RECV_BEFORE_UPDATE,1zt6lapp2,51:39.515885,,,,
1zt6lapp2,RECV_BEFORE_NOTIFY,1zt6lapp2,51:39.516042,,,,
1zt6lapp2,EPR_TOTAL,1zt6lapp2,51:39.516157,,,,
m7os659q7,ReceiveEPR,m7os659q7,,0.0043,51:39.516875,,51:39.512575
m7os659q7,RECV_EPR_START_BEFORE_CALCS,m7os659q7,51:39.517412,,,,
