ID  Estado  link    w_gen   w_out   t_gen   t_recv  t_diff  Medicion
soy0ohtpw   swapped node_etsiinf_upm-node_cedint_upm    1   0.93951 34:57.467   34:58.091   0.62400 1
08qri5tj4   swapped node_rectorado_upm-node_cedint_upm  1   0.96850 34:57.458   34:57.778   0.32000 1
08qri5tj4_soy0ohtpw swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
0hfsg9v6a   active  node_rectorado_upm-node_etsiinf_upm 0.9684952990432684  0.90991 34:57.458   34:59.235   1.77700 ""
elwk6gcv4   swapped node_etsiinf_upm-node_cedint_upm    1   0.90231 35:01.343   35:02.371   1.02800 0
cua6g4238   swapped node_rectorado_upm-node_cedint_upm  1   0.98974 35:01.337   35:01.440   0.10300 0
cua6g4238_elwk6gcv4 swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
chf7t8vgf   active  node_rectorado_upm-node_etsiinf_upm 0.989741332793132   0.89305 35:01.337   35:03.486   2.14900 ""
470r57foo   swapped node_etsiinf_upm-node_cedint_upm    1   0.93146 35:03.989   35:04.698   0.70900 1
p16w7gx59   swapped node_rectorado_upm-node_cedint_upm  1   0.98984 35:03.981   35:04.083   0.10200 1
p16w7gx59_470r57foo swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
fq2z7j4w2   active  node_rectorado_upm-node_etsiinf_upm 0.9898403118753032  0.92200 35:03.981   35:05.827   1.84600 ""
h3n0bkogy   swapped node_etsiinf_upm-node_cedint_upm    1   0.92533 35:08.190   35:08.966   0.77600 0
1b9kziqry   swapped node_rectorado_upm-node_cedint_upm  1   0.98984 35:08.179   35:08.280   0.10100 0
1b9kziqry_h3n0bkogy swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
nrdoi2u7c   active  node_rectorado_upm-node_etsiinf_upm 0.9898403118753032  0.91593 35:08.179   35:10.092   1.91300 ""
up3iczzy6_o2flnrpoh swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
o2flnrpoh   swapped node_etsiinf_upm-node_cedint_upm    1   0.89021 35:12.050   35:13.213   1.16300 0
up3iczzy6   swapped node_rectorado_upm-node_cedint_upm  1   0.98954 35:12.041   35:12.146   0.10500 1
n1pkdiij4   active  node_rectorado_upm-node_etsiinf_upm 0.9895434043200851  0.88090 35:12.041   35:13.308   1.26700 ""
piw57ty0d	swapped	node_etsiinf_upm-node_cedint_upm	1	0.91210	09:05.637	09:06.557	0.92000	0
ukkfidfc0	swapped	node_rectorado_upm-node_cedint_upm	1	0.95169	09:05.139	09:05.634	0.49500	1
ukkfidfc0_piw57ty0d	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
72ng3s3l9	active	node_rectorado_upm-node_etsiinf_upm	0.9516940708359531	0.86804	09:05.139	09:07.707	2.56800	""
vqqe9kmta	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90457	09:09.839	09:10.842	1.00300	1
br29khge5	swapped	node_rectorado_upm-node_cedint_upm	1	0.99014	09:09.834	09:09.932	0.09800	1
br29khge5_vqqe9kmta	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
8erbnq9f8	active	node_rectorado_upm-node_etsiinf_upm	0.9901373085161161	0.89564	09:09.834	09:09.838	0.00400	""
0reuz2qen	swapped	node_etsiinf_upm-node_cedint_upm	1	0.93566	09:12.300	09:12.965	0.66500	1
qf2mab3sb	swapped	node_rectorado_upm-node_cedint_upm	1	0.99014	09:12.294	09:12.393	0.09900	0
qf2mab3sb_0reuz2qen	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
b1tfw0erj	active	node_rectorado_upm-node_etsiinf_upm	0.9901373085161161	0.92643	09:12.294	09:14.084	1.79000	""
yfynlb5qz	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90556	09:16.253	09:17.245	0.99200	0
8r453rknv	swapped	node_rectorado_upm-node_cedint_upm	1	0.98984	09:16.246	09:16.347	0.10100	1
8r453rknv_yfynlb5qz	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
gfw7c5n4d	active	node_rectorado_upm-node_etsiinf_upm	0.9898403118752919	0.89636	09:16.246	09:18.364	2.11800	""
rluhtk0wl	swapped	node_etsiinf_upm-node_cedint_upm	1	0.92802	09:20.751	09:21.497	0.74600	0
v7y8zgox5	swapped	node_rectorado_upm-node_cedint_upm	1	0.99004	09:20.745	09:20.844	0.09900	0
v7y8zgox5_rluhtk0wl	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
y9enhliis	active	node_rectorado_upm-node_etsiinf_upm	0.9900382997357884	0.91878	09:20.745	09:22.642	1.89700	""
ltlh2an7l	swapped	node_rectorado_upm-node_cedint_upm	1	0.96656	09:44.925	09:45.265	0.34000	1
ltlh2an7l_l88lwpv3n	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
l88lwpv3n	swapped	node_etsiinf_upm-node_cedint_upm	1	0.94280	09:45.653	09:46.242	0.58900	0
lfuiqyfc0	active	node_rectorado_upm-node_etsiinf_upm	0.966560244145067	0.91127	09:44.925	09:47.338	2.41300	""
