ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
1bhgmt2rz	swapped	node_rectorado_upm-node_cedint_upm	1	0.85039	56:19.527	56:19.851	0.32400	0
1bhgmt2rz_k1g9bvznn	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
k1g9bvznn	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87153	56:20.182	56:20.456	0.27400	0
qm7rp3f6o	active	node_rectorado_upm-node_etsiinf_upm	0.8503916677828112	0.74114	56:19.527	56:21.597	2.07000	""
use8un957	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87985	56:23.401	56:23.657	0.25600	1
0ldk39cag	swapped	node_rectorado_upm-node_cedint_upm	1	0.90887	56:22.871	56:23.062	0.19100	1
0ldk39cag_use8un957	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
l3c2su49r	active	node_rectorado_upm-node_etsiinf_upm	0.9088654187011727	0.79967	56:22.871	56:24.785	1.91400	""
793iftz7r	swapped	node_etsiinf_upm-node_cedint_upm	1	0.65377	56:27.134	56:27.984	0.85000	0
a5tyr48fl	swapped	node_rectorado_upm-node_cedint_upm	1	0.95117	56:27.127	56:27.227	0.10000	1
a5tyr48fl_793iftz7r	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
w308mprzn	active	node_rectorado_upm-node_etsiinf_upm	0.9511740170005392	0.62185	56:27.127	56:29.158	2.03100	""
0fx3f8gjn	swapped	node_etsiinf_upm-node_cedint_upm	1	0.48968	56:31.979	56:33.407	1.42800	0
4zhkr5j2c	swapped	node_rectorado_upm-node_cedint_upm	1	0.95308	56:31.971	56:32.067	0.09600	0
4zhkr5j2c_0fx3f8gjn	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
7vbb5aaf6	active	node_rectorado_upm-node_etsiinf_upm	0.9530782686513956	0.46670	56:31.971	56:33.511	1.54000	""
z27hws5vo	swapped	node_etsiinf_upm-node_cedint_upm	1	0.73161	56:35.994	56:36.619	0.62500	0
a9hs734of	swapped	node_rectorado_upm-node_cedint_upm	1	0.95070	56:35.986	56:36.087	0.10100	1
a9hs734of_z27hws5vo	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
qpfjd0goh	active	node_rectorado_upm-node_etsiinf_upm	0.9506985488688806	0.69554	56:35.986	56:37.759	1.77300	""
7qttf20je	swapped	node_rectorado_upm-node_cedint_upm	1	0.84742	57:07.050	57:07.381	0.33100	1
7qttf20je_b8qlldabt	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
b8qlldabt	swapped	node_etsiinf_upm-node_cedint_upm	1	0.59126	57:07.727	57:08.778	1.05100	1
du5a6c1lx	active	node_rectorado_upm-node_etsiinf_upm	0.8474204995232594	0.50104	57:07.050	57:08.878	1.82800	""
5fywpe5b2_1668rcga7	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
1668rcga7	swapped	node_etsiinf_upm-node_cedint_upm	1	0.59929	57:11.939	57:12.963	1.02400	0
5fywpe5b2	swapped	node_rectorado_upm-node_cedint_upm	1	0.95260	57:11.854	57:11.950	0.09600	0
uhghs0dpu	active	node_rectorado_upm-node_etsiinf_upm	0.9526018486319031	0.57089	57:11.854	57:13.062	1.20800	""
z06f7ermx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.60411	57:15.175	57:16.183	1.00800	1
ylh5dmbmz	swapped	node_rectorado_upm-node_cedint_upm	1	0.95308	57:15.095	57:15.191	0.09600	0
ylh5dmbmz_z06f7ermx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
rpphjcin9	active	node_rectorado_upm-node_etsiinf_upm	0.9530782686513956	0.57576	57:15.095	57:16.287	1.19200	""
o3rlaqpmz	swapped	node_etsiinf_upm-node_cedint_upm	1	0.71892	57:18.723	57:19.383	0.66000	1
4tekp1ib1	swapped	node_rectorado_upm-node_cedint_upm	1	0.95117	57:18.715	57:18.815	0.10000	1
4tekp1ib1_o3rlaqpmz	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
ivac57zsb	active	node_rectorado_upm-node_etsiinf_upm	0.9511740170005392	0.68381	57:18.715	57:20.524	1.80800	""
rebdh9yrf_jor1f7k2q	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
jor1f7k2q	swapped	node_etsiinf_upm-node_cedint_upm	1	0.65705	57:48.591	57:49.431	0.84000	1
rebdh9yrf	swapped	node_rectorado_upm-node_cedint_upm	1	0.84193	57:47.910	57:48.253	0.34300	1
17h6083tu	active	node_rectorado_upm-node_etsiinf_upm	0.8419301293100576	0.55319	57:47.910	57:49.518	1.60800	""
fr26eyqpo	swapped	node_etsiinf_upm-node_cedint_upm	1	0.61110	57:57.027	57:58.011	0.98400	1
upzu50aqk	swapped	node_rectorado_upm-node_cedint_upm	1	0.95260	57:57.019	57:57.115	0.09600	1
upzu50aqk_fr26eyqpo	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
